,0,1,2,3,4,5,6,7
0,"1, 2 y 3 mujeres",Año: 2008,País:: Venezuela,"1, 2 y 3 Mujeres, aborda el tema de la mujer y su relación con el entorno social y geográfico desde diferentes perspectivas y propuestas estéticas través de las historias de Eloína, Rosario y Gregoria. Eloína, muestra la grandeza y el valor de asumir determinadas posiciones en el rol de madre. Rosario deja la experiencia de la candidez a la mujer en el contexto de la soledad y Gregoria muestra la debilidad versus la fortaleza y el ímpetu en la toma de decisiones para garantizar una estabilidad emocional","
Andrea Ríos ","

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
",,"
        Ene        "
1,10 Momentos de Felicidad,Año: 2007,País:: Argentina,"El Tigre Galván es un ex – boxeador (64 años) en el final de su carrera, que es convocadopor un club de barrio para que dé clases de boxeo. Está queriendo empezar a creeren sí mismo. Laura (20 años), nadadora, es la esperanza de ese club en la competencianacional; está en el comienzo de su carrera.",64,Ficción,"
Raúl Perrone ",
2,100% Lucha,Año: 2009,País:: Argentina,"Damián es un vecino y falso amigo de Viloni. Lo ha envidiado desde la niñez compartida y lo odiaobsesivamente, hasta la locura. Incapaz de soportar la popularidad de Vicente y aprovechandolos conocimientos que le brinda su profesión de Doctor en Biotecnología, decide producir clonesde los luchadores. De este modo pretende lograr un doble objetivo: enriquecerse vendiéndoloscomo ejército de invencibles a un traficante de mercenarios y destruir la imagen del héroe de VillaUrquiza a través del comportamiento vergonzoso de su clon.",83,Acción - Aventuras - Ciencia Ficción,"
Pablo Pares,             Paulo Soria ","
Turco Naim Carlos Kaspar Osvaldo Prícipi Eduardo Husni  "
3,12 de junho de 1993: o dia da paixão palmeirense,Año: 2014,País:: Brasil,"12 de junho de 1993, campeonato Paulista e, coincidentemente, dia dos namorados. Uma data que ficaria cravada na memória dos torcedores palmeirenses: Corinthians x Palmeiras, o que apimentou ainda mais as emoções dos torcedores pela história de rivalidade já conhecida entre os dois times",93,Documental,"
Jaime Queiroz,             Mauro Beting ",www.youtube.com/watch?v=Mitf0AY3tjU
4,"12 horas, 2 minutos",Año: 2012,País:: Uruguay,"Luego de dos años de espera y con el corazón funcionando a un 8% de su capacidad, llega un donante para Juan. 12 horas y 2 minutos transcurren desde ese llamado hasta el fin de la operación. Cinco historias componen un mensaje de esperanza transmitido por personas que tuvieron una segunda oportunidad de vivir.",HD,Largometraje,Documental,"
Luis Ara "
5,17 monumentos,Año: 2012,País:: Argentina,"A través de planos fijos y observación pura, el segundo largometraje de Jonathan Perel registralos monumentos que por ley se construyeron en aquellos lugares en donde funcionaron los centrosde detención y tortura durante la última dictadura militar, en toda la Argentina. El primer planode la película enseña un instructivo de cómo debía ser construido cada uno de los monumentos.Los diecisiete planos siguientes dan cuenta de las diversas interpretaciones de esa disposición, através de la rigurosa observación de los monumentos existentes hasta ahora.",Largometraje,"
Jonathan Perel ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
6,18 cigarrillos y medio,Año: 2010,País:: Paraguay,Seguinos en:,69,Drama,"
Marcelo Tolces ",
7,1811,Año: 2010,País:: Paraguay,Seguinos en:,Largometraje,"
Ramón Ramoa Salcedo ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
8,"1958, O Ano Em Que O Mundo Descobriu O Brasil",Año: 2008,País:: Brasil,"Didi ,Zagallo , Nilton Santos , Zito ,Dino ,Pepe ,Moacir , Djalma Santos ,Mazolla , Indio ",Largometraje,"
José Carlos Asbeg ","
Didi ,Zagallo , Nilton Santos , Zito ,Dino ,Pepe ,Moacir , Djalma Santos ,Mazolla , Indio  ",www.copa58.com.br
9,1983.. O Ano Azul,Año: 2009,País:: Brasil,Seguinos en:,Documental,"
Gustavo Fogaça ,             Carlos Gerbase ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
10,199 Recetas Para Ser Feliz ,Año: 2008,"País:: Chile, España",   Pablo Macaya   Tamara Garea   Andrea García-Huidobro   Alex Brendemühl   Jordi Dauder   ,90,"
Andrés Waissbluth ","
Nora Fernández ,             Marcelo Leonart ,             Cristián Jiménez ,             Andrés Waissbluth ","
   Pablo Macaya   Tamara Garea   Andrea García-Huidobro   Alex Brendemühl   Jordi Dauder    "
11,23 Anos em 7 segundos - O Fim do Jejum Corinthiano,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Di Moretti ","
Di Moretti ",
12,23 segundos,Año: 2014,País:: Uruguay,"Emiliano es un limpiavidrios de autos que trabaja en las calles de Montevideo. Un día estando en su cruce habitual, un incidente trágico sucede y conoce a Carina, una chica de clase alta y completamente diferente a él. Sus vidas se cruzan en el lugar y momento equivocado. Las circunstancias del momento lo llevarán a decidir qué hacer en una situación tan complicada.",112,Comedia Dramática,"
Dimitry Rudakov ",
13,24hs En La City,Año: 2008,País:: Argentina,"Lola Cordero, Rodrigo Aragón, Pablo Turchinsky, Jorge Velurtas,José Palomino Cortez, Nicolás Scarpino, Juan Palomino",82,Ficción,"
Matías Lago ,             Federico Rozemberg,             Jorge Bechara,             Andy Shakespear,             Ezio Massa ","
Matías Lago ,             Federico Rozemberg,             Jorge Bechara,             Andy Shakespear,             Ezio Massa "
14,3 millones,Año: 2011,País:: Uruguay,"Uruguay, un pequeño país con un pasado de gloria futbolística. Sudáfrica, el exótico escenario de la Copa del Mundo 2010. Los Roos, padre Jaime (músico uruguayo) e hijo Yamandú (fotógrafo holandés), deciden reencontrarse en el registro de esta aventura. El vínculo se afianza, las esperanzas crecen, los pronósticos se revierten. La realidad supera lo imaginado, el viaje se convierte en un documento único. 3 Millones es la aventura celeste contada por los Roos.",HD,Largometraje,Documental,"
Jaime Roos "
15,30,Año: 2010,País:: Paraguay,Seguinos en:,,,"
        Ene        ","
        Abr        "
16,"30.000 Razones para seguir buscando verdad, justicia y memoria",Año: 2009,País:: Argentina,"Este film es un retrato profundo de Nora Cortiñas, Madre de Plaza de Mayo L. F. quien ha vivido lapérdida de su hijo desaparecido en manos del Terrorismo de Estado. La Junta Militar instauradaen Argentina en 1976 fué solo una pieza de la Internacional del Terror que dejo como saldo: “milesde detenidos-desaparecidos, asesinados, presos políticos, exiliados, niños apropiados. La luchade los familiares y de las propias víctimas, nos ha permitido preservar la memoria y dar cuenta enforma contundente de la magnitud del genocidio sufrido en nuestro país; un país que aún busca laVerdad, la Justicia y la Memoria.",130,Documental,"
Soledad Gonnet ",
17,31 De Abril ,Año: 2009,País:: Chile,   Manuel Cubillos   Vera Puelma   Leonardo Cubillos   Tomás Cubillos   Cristián Cubillos   ,91,"
Víctor Cubillos ","
Víctor Cubillos ","
   Manuel Cubillos   Vera Puelma   Leonardo Cubillos   Tomás Cubillos   Cristián Cubillos    "
18,"31 Minutos, La Película ",Año: 2008,"País:: Brasil, Chile","Película infantil basada en el popular programa infantil de títeres. En esta historia se introduce a la malvada multimillonaria Cachirula, quien está obsesionada con completar su colección de animales extraños y para ello encarga a Tío Pelado traer a Juanín Juan Harry hasta su maléfica isla. Al enterarse del maquiavélico plan de Cachirula, el equipo de 31 minutos, encabezados por Tulio Triviño, inicia la aventura del rescate de su amigo Juanín.",35mm,Largometraje,Infantil,"
Pedro Peirano,             Álvaro Díaz  "
